Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,3.0,2772.0,Kota Madiun,6.14
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,3.0,2772.0,Kota Madiun,6.14
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,4.0,2889.48,Kota Madiun,5.8
Kota Madiun,551620,83.02,4.76,6.39,1991105.79,198.45,1.82,0.48,5670.5,95.8,2022,4.0,2889.48,Kota Madiun,5.8
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,1.0,105891.3,Kota Surabaya,3.16
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,1.0,105891.3,Kota Surabaya,3.16
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,2.0,107655.22,Kota Surabaya,4.89
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,2.0,107655.22,Kota Surabaya,4.89
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,3.0,109914.17,Kota Surabaya,6.91
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,3.0,109914.17,Kota Surabaya,6.91
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,4.0,110807.64,Kota Surabaya,6.59
Kota Surabaya,652540,83.32,4.72,7.62,4375479.19,2895.85,0.79,7.03,8442.0,98.2,2022,4.0,110807.64,Kota Surabaya,6.59
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,1.0,2993.33,Kota Malang,2.98
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,1.0,2993.33,Kota Malang,2.98
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,2.0,3047.03,Kota Malang,5.3
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,2.0,3047.03,Kota Malang,5.3
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,3.0,3104.76,Kota Malang,7.08
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,3.0,3104.76,Kota Malang,7.08
Kota Batu,564010,78.13,3.79,8.43,2830367.09,217.45,2.2,0.53,1352.0,101.35,2022,4.0,3035.81,Kota Malang,6.45
