Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Sampang,2024,I,4.68,Kabupaten Sumenep
Kabupaten Sampang,2024,II,3.24,Kabupaten Sumenep
Kabupaten Sampang,2024,III,2.45,Kabupaten Sumenep
Kabupaten Sampang,2024,IV,1.97,Kabupaten Sumenep
Kabupaten Sampang,2025,I,1.33,Kabupaten Sumenep
Kabupaten Pamekasan,2022,I,3.57,Kabupaten Sumenep
Kabupaten Pamekasan,2022,II,5.79,Kabupaten Sumenep
Kabupaten Pamekasan,2022,III,6.54,Kabupaten Sumenep
Kabupaten Pamekasan,2022,IV,6.32,Kabupaten Sumenep
Kabupaten Pamekasan,2023,I,6.43,Kabupaten Sumenep
Kabupaten Pamekasan,2023,II,4.53,Kabupaten Sumenep
Kabupaten Pamekasan,2023,III,4.47,Kabupaten Sumenep
Kabupaten Pamekasan,2023,IV,5.08,Kabupaten Sumenep
Kabupaten Pamekasan,2024,I,4.68,Kabupaten Sumenep
Kabupaten Pamekasan,2024,II,3.24,Kabupaten Sumenep
Kabupaten Pamekasan,2024,III,2.45,Kabupaten Sumenep
Kabupaten Pamekasan,2024,IV,1.97,Kabupaten Sumenep
Kabupaten Pamekasan,2025,I,1.33,Kabupaten Sumenep
Kabupaten Sumenep,2022,I,3.57,Kabupaten Sumenep
Kabupaten Sumenep,2022,II,5.79,Kabupaten Sumenep
Kabupaten Sumenep,2022,III,6.54,Kabupaten Sumenep
Kabupaten Sumenep,2022,IV,6.32,Kabupaten Sumenep
Kabupaten Sumenep,2023,I,6.43,Kabupaten Sumenep
Kabupaten Sumenep,2023,II,4.53,Kabupaten Sumenep
Kabupaten Sumenep,2023,III,4.47,Kabupaten Sumenep
Kabupaten Sumenep,2023,IV,5.08,Kabupaten Sumenep
Kabupaten Sumenep,2024,I,4.68,Kabupaten Sumenep
Kabupaten Sumenep,2024,II,3.24,Kabupaten Sumenep
Kabupaten Sumenep,2024,III,2.45,Kabupaten Sumenep
Kabupaten Sumenep,2024,IV,1.97,Kabupaten Sumenep
Kabupaten Sumenep,2025,I,1.33,Kabupaten Sumenep
Kota Kediri,2022,I,2.33,Kota Kediri
Kota Kediri,2022,II,4.03,Kota Kediri
Kota Kediri,2022,III,6.29,Kota Kediri
Kota Kediri,2022,IV,5.76,Kota Kediri
Kota Kediri,2023,I,5.36,Kota Kediri
Kota Kediri,2023,II,3.92,Kota Kediri
Kota Kediri,2023,III,2.55,Kota Kediri
Kota Kediri,2023,IV,2.64,Kota Kediri
Kota Kediri,2024,I,2.88,Kota Kediri
Kota Kediri,2024,II,1.72,Kota Kediri
Kota Kediri,2024,III,0.88,Kota Kediri
Kota Kediri,2024,IV,1.19,Kota Kediri
Kota Kediri,2025,I,-0.04,Kota Kediri
Kota Blitar,2022,I,2.33,Kota Kediri
Kota Blitar,2022,II,4.03,Kota Kediri
Kota Blitar,2022,III,6.29,Kota Kediri
